"BookName","S3Path","FileCount","Status"
"John Denver - Back Home Again","John Denver/Best Of [easy Piano]/Songs/","18","READY_TO_DOWNLOAD"
"REO Speedwagon - Life As We Know It","Reo Speedwagon/Reo Speedwagon - Life As We Know It/Songs/","4","READY_TO_DOWNLOAD"
"Tom Waits - Tom Waits Anthology","Tom Waits/Tom Waits - Tom Waits Anthology/Songs/","7","READY_TO_DOWNLOAD"
"Who - Quadrophenia (PVG)","Who/Who - Quadrophenia (pvg)/Songs/","9","READY_TO_DOWNLOAD"
"Wings - London Town (PVG Book)","Wings/Wings - London Town (pvg Book)/Songs/","8","READY_TO_DOWNLOAD"
"Wicked Workshop","_broadway Shows/Wicked Workshop/Songs/","4","READY_TO_DOWNLOAD"
"The Wizard of Oz Script","_broadway Shows/Various Artists - Wizard Of Oz (rsc Piano-conductor)/Songs/","20","READY_TO_DOWNLOAD"
"America - Greatest Hits [Book]","America/America - Greatest Hits [book]/Songs/","4","READY_TO_DOWNLOAD"
"Ben Folds - Rockin' The Suburbs [Book]","Ben Folds/Ben Folds - Rockin' The Suburbs [book]/Songs/","1","READY_TO_DOWNLOAD"
"Elton John - The Elton John Collection [Piano Solos]","Elo/Elton John - The Elton John Collection [piano Solos]/Songs/","29","READY_TO_DOWNLOAD"
"Kinks - Guitar Legends [Tab]","Kinks/Guitar Legends [guitar]/Songs/","9","READY_TO_DOWNLOAD"
