"Artist","Book","Status","FileCount"
"Eric Clapton","Eric Clapton - The Cream of Clapton","NO_FILES","0"
"John Denver","John Denver - Back Home Again","NO_FILES","0"
"REO Speedwagon","REO Speedwagon - Life As We Know It","NO_FILES","0"
"Tom Waits","Tom Waits - Tom Waits Anthology","HAS_FILES","7"
"Various Artists","Various Artists - Ultimate 80s Songs","NO_FILES","0"
"Who","Who - Quadrophenia (PVG)","NO_FILES","0"
"Wings","Wings - London Town (PVG Book)","NO_FILES","0"
"_Broadway Shows","Various Artists - Little Shop of Horrors Script","NO_FILES","0"
"_Broadway Shows","Wicked Workshop","NO_FILES","0"
"_Movie and TV","The Wizard of Oz Script","NO_FILES","0"
"_Movie and TV","Various Artists - Complete TV and Film","NO_FILES","0"
"America","America - Greatest Hits [Book]","NO_FILES","0"
"Ben Folds","Ben Folds - Rockin' The Suburbs [Book]","NO_FILES","0"
"Crosby Stills and Nash","Crosby, Stills, Nash & Young - The Guitar Collection","NO_FILES","0"
"ELO","Elton John - The Elton John Collection [Piano Solos]","NO_FILES","0"
"Kinks","Kinks - Guitar Legends [Tab]","NO_FILES","0"
"Mamas and the Papas","Mamas and The Papas - Songbook [PVG]","NO_FILES","0"
"Night Ranger","Night Ranger - Best Of 2 [Jap Score]","NO_FILES","0"
"_Broadway Shows","Various Artists - Little Shop Of Horrors (Broadway)","NO_FILES","0"
