"BookName","Artist","ExecutionArn","BookId"
"Various Artists - 25th Annual Putnam County Spelling Bee","_Broadway Shows","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:various-artists---25th-annual-putnam-county-spelling-bee-20260129-202431","various-artists---25th-annual-putnam-county-spelling-bee"
"Various Artists - High School Musical _score_","_Broadway Shows","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:various-artists---high-school-musical--score--20260129-202434","various-artists---high-school-musical--score-"
"Various Artists - Little Shop Of Horrors _Broadway_","_Broadway Shows","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:various-artists---little-shop-of-horrors--broadway--20260129-202438","various-artists---little-shop-of-horrors--broadway-"
"Various Artists - Little Shop Of Horrors Script","_Broadway Shows","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:various-artists---little-shop-of-horrors-script-20260129-202442","various-artists---little-shop-of-horrors-script"
"Various Artists - Shrek The Musical","_Broadway Shows","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:various-artists---shrek-the-musical-20260129-202445","various-artists---shrek-the-musical"
"Various Artists - Youre A Good Man Charlie Brown _Score_","_Broadway Shows","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:various-artists---youre-a-good-man-charlie-brown--score--20260129-202449","various-artists---youre-a-good-man-charlie-brown--score-"
"Wicked Workshop","_Broadway Shows","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:wicked-workshop-20260129-202455","wicked-workshop"
"The Wizard Of Oz Script","_Movie and TV","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:the-wizard-of-oz-script-20260129-202458","the-wizard-of-oz-script"
"Various Artists - Complete TV And Film","_Movie and TV","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:various-artists---complete-tv-and-film-20260129-202501","various-artists---complete-tv-and-film"
"Crosby Stills Nash And Young - The Guitar Collection","Crosby Stills and Nash","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:crosby-stills-nash-and-young---the-guitar-collection-20260129-202507","crosby-stills-nash-and-young---the-guitar-collection"
"Dire Straits - Mark Knopfler Guitar Styles Vol 1 _Guitar Book_","Dire Straits","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:dire-straits---mark-knopfler-guitar-styles-vol-1--guitar-book--20260129-202510","dire-straits---mark-knopfler-guitar-styles-vol-1--guitar-book-"
"Elvis Presley - The Compleat _PVG Book_","Elvis Presley","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:elvis-presley---the-compleat--pvg-book--20260129-202513","elvis-presley---the-compleat--pvg-book-"
"Eric Clapton - The Cream Of Clapton","Eric Clapton","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:eric-clapton---the-cream-of-clapton-20260129-202518","eric-clapton---the-cream-of-clapton"
"John Denver - Back Home Again","John Denver","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:john-denver---back-home-again-20260129-202521","john-denver---back-home-again"
"Mamas And The Papas - Songbook _PVG_","Mamas and the Papas","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:mamas-and-the-papas---songbook--pvg--20260129-202526","mamas-and-the-papas---songbook--pvg-"
"Night Ranger - Seven Wishes _Jap Score_","Night Ranger","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:night-ranger---seven-wishes--jap-score--20260129-202529","night-ranger---seven-wishes--jap-score-"
"Robbie Robertson - Songbook _Guitar Tab_","Robbie Robertson","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:robbie-robertson---songbook--guitar-tab--20260129-202532","robbie-robertson---songbook--guitar-tab-"
"Tom Waits - Tom Waits Anthology","Tom Waits","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:tom-waits---tom-waits-anthology-20260129-202535","tom-waits---tom-waits-anthology"
"Various Artists - Ultimate 80s Songs","Various Artists","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:various-artists---ultimate-80s-songs-20260129-202538","various-artists---ultimate-80s-songs"
