"Artist","BookName","ExecutionArn","ExecutionName","BookId"
"_Broadway Shows","Various Artists - 25th Annual Putnam County Spelling Bee","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:reprocess-fix-20260129-215932-53894f2055c54770","reprocess-fix-20260129-215932-53894f2055c54770","53894f2055c54770"
"_Broadway Shows","Various Artists - Little Shop Of Horrors Script","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:reprocess-fix-20260129-215932-fb4e3f69949540a5","reprocess-fix-20260129-215932-fb4e3f69949540a5","fb4e3f69949540a5"
"_Movie and TV","The Wizard Of Oz Script","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:reprocess-fix-20260129-215932-429c7d6445084ff0","reprocess-fix-20260129-215932-429c7d6445084ff0","429c7d6445084ff0"
"_Movie and TV","Various Artists - Complete TV And Film","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:reprocess-fix-20260129-215932-8b8d83517d9a4b72","reprocess-fix-20260129-215932-8b8d83517d9a4b72","8b8d83517d9a4b72"
"Crosby Stills and Nash","Crosby Stills Nash And Young - The Guitar Collection","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:reprocess-fix-20260129-215932-24121eba11314bbf","reprocess-fix-20260129-215932-24121eba11314bbf","24121eba11314bbf"
"Dire Straits","Dire Straits - Mark Knopfler Guitar Styles Vol 1 _Guitar Book_","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:reprocess-fix-20260129-215932-233b01138c4d46c9","reprocess-fix-20260129-215932-233b01138c4d46c9","233b01138c4d46c9"
"Elvis Presley","Elvis Presley - The Compleat _PVG Book_","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:reprocess-fix-20260129-215932-72db67ff9fad4937","reprocess-fix-20260129-215932-72db67ff9fad4937","72db67ff9fad4937"
"Eric Clapton","Eric Clapton - The Cream Of Clapton","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:reprocess-fix-20260129-215932-f5c8a2705c0c4fcd","reprocess-fix-20260129-215932-f5c8a2705c0c4fcd","f5c8a2705c0c4fcd"
"John Denver","John Denver - Back Home Again","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:reprocess-fix-20260129-215932-a365e9bdf7c94032","reprocess-fix-20260129-215932-a365e9bdf7c94032","a365e9bdf7c94032"
"Mamas and the Papas","Mamas And The Papas - Songbook _PVG_","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:reprocess-fix-20260129-215932-138a4b772f044b0a","reprocess-fix-20260129-215932-138a4b772f044b0a","138a4b772f044b0a"
"Robbie Robertson","Robbie Robertson - Songbook _Guitar Tab_","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:reprocess-fix-20260129-215932-08d214241dff48f5","reprocess-fix-20260129-215932-08d214241dff48f5","08d214241dff48f5"
"Tom Waits","Tom Waits - Tom Waits Anthology","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:reprocess-fix-20260129-215932-0db371531d2c4734","reprocess-fix-20260129-215932-0db371531d2c4734","0db371531d2c4734"
"Various Artists","Various Artists - Ultimate 80s Songs","arn:aws:states:us-east-1:227027150061:execution:jsmith-sheetmusic-splitter-pipeline:reprocess-fix-20260129-215932-f789108286bf434a","reprocess-fix-20260129-215932-f789108286bf434a","f789108286bf434a"
