"Artist","BookName","ExecutionArn","ExecutionName","S3Path","BookId"
"_Broadway Shows","Various Artists - 25th Annual Putnam County Spelling Bee",,"reprocess-fix-20260129-215015-752b36c8e8a94e60","SheetMusic/_Broadway Shows/Books/Various Artists - 25th Annual Putnam County Spelling Bee.pdf","752b36c8e8a94e60"
"_Broadway Shows","Various Artists - Little Shop Of Horrors Script",,"reprocess-fix-20260129-215015-19b8896e4bfd4bdb","SheetMusic/_Broadway Shows/Books/Various Artists - Little Shop Of Horrors Script.pdf","19b8896e4bfd4bdb"
"_Movie and TV","The Wizard Of Oz Script",,"reprocess-fix-20260129-215015-94aa98970cb54689","SheetMusic/_Movie and TV/Others/Books/The Wizard Of Oz Script.pdf","94aa98970cb54689"
"_Movie and TV","Various Artists - Complete TV And Film",,"reprocess-fix-20260129-215015-4a18c2d8b24e43d3","SheetMusic/_Movie and TV/Others/Books/Various Artists - Complete TV And Film.pdf","4a18c2d8b24e43d3"
"Crosby Stills and Nash","Crosby Stills Nash And Young - The Guitar Collection",,"reprocess-fix-20260129-215015-9963ae05de80437e","SheetMusic/Crosby Stills and Nash/Books/Crosby Stills Nash And Young - The Guitar Collection.pdf","9963ae05de80437e"
"Dire Straits","Dire Straits - Mark Knopfler Guitar Styles Vol 1 _Guitar Book_",,"reprocess-fix-20260129-215015-1da66c6566ed469f","SheetMusic/Dire Straits/Books/Dire Straits - Mark Knopfler Guitar Styles Vol 1 _Guitar Book_.pdf","1da66c6566ed469f"
"Elvis Presley","Elvis Presley - The Compleat _PVG Book_",,"reprocess-fix-20260129-215015-fef532d52e4648ed","SheetMusic/Elvis Presley/Books/Elvis Presley - The Compleat _PVG Book_.pdf","fef532d52e4648ed"
"Eric Clapton","Eric Clapton - The Cream Of Clapton",,"reprocess-fix-20260129-215015-91baa19cc25047d4","SheetMusic/Eric Clapton/Books/Eric Clapton - The Cream Of Clapton.pdf","91baa19cc25047d4"
"John Denver","John Denver - Back Home Again",,"reprocess-fix-20260129-215015-247830da84324299","SheetMusic/John Denver/Books/John Denver - Back Home Again.pdf","247830da84324299"
"Mamas and the Papas","Mamas And The Papas - Songbook _PVG_",,"reprocess-fix-20260129-215015-25639d69df7340ad","SheetMusic/Mamas and the Papas/Books/Mamas And The Papas - Songbook _PVG_.pdf","25639d69df7340ad"
"Robbie Robertson","Robbie Robertson - Songbook _Guitar Tab_",,"reprocess-fix-20260129-215015-204c3ff0e1964b70","SheetMusic/Robbie Robertson/Books/Robbie Robertson - Songbook _Guitar Tab_.pdf","204c3ff0e1964b70"
"Tom Waits","Tom Waits - Tom Waits Anthology",,"reprocess-fix-20260129-215015-b402c449db6a40c0","SheetMusic/Tom Waits/Books/Tom Waits - Tom Waits Anthology.pdf","b402c449db6a40c0"
"Various Artists","Various Artists - Ultimate 80s Songs",,"reprocess-fix-20260129-215015-610a7c1b81a34f2d","SheetMusic/Various Artists/Books/Various Artists - Ultimate 80s Songs.pdf","610a7c1b81a34f2d"
