"Folder","FileCount"
"Abba","1"
"Acdc","6"
"Adele","17"
"Aerosmith","22"
"Allman Brothers","82"
"America","44"
"Asia","15"
"Avril Lavigne","17"
"Barry Manilow","98"
"Beatles","2536"
"Bee Gees","2"
"Belinda Carlisle","8"
"Ben Folds","81"
"Billy Joel","358"
"Billy Ocean","15"
"Black Eyed Peas","19"
"Blondie","1"
"Blues Brothers","18"
"Bob Dylan","528"
"Bob Marley And The Wailers","1"
"Bob Seger","26"
"Bon Jovi","37"
"Bonnie Raitt","31"
"Bonnie Tyler","10"
"Bread","7"
"Bruce Springsteen","57"
"Buddy Holly","36"
"Burl Ives","167"
"Burt Bacharach","135"
"Carole King","250"
"Carpenters","118"
"Cheap Trick","2"
"Chicago","1"
"Colbie Caillat","14"
"Cole Porter","72"
"Cream","45"
"Creedence Clearwater Revival","91"
"Crosby Stills And Nash","32"
"Crowded House","45"
"David Crosby","2"
"Dire Straits","57"
"Don Henley","19"
"Doobie Brothers","15"
"Doors","22"
"Dr John","3"
"Dr. Hook","1"
"Duran Duran","53"
"Eagles","146"
"Elo","101"
"Elton John","290"
"Elvis Costello","61"
"Emerson Lake And Palmer","48"
"Eric Clapton","59"
"Fleetwood Mac","187"
"Frank Zappa","44"
"Fray","3"
"Garth Brooks","45"
"Genesis","133"
"George Michael","58"
"Grand Funk Railroad","71"
"Harry Chapin","11"
"Henri Mancini","13"
"Herman's Hermits","12"
"Jackson Browne","77"
"James Blunt","15"
"James Taylor","180"
"Jim Croce","2"
"Jimmy Buffet","18"
"Joe Cocker","54"
"John Denver","197"
"John Lennon","29"
"Joni Mitchell","46"
"Journey","253"
"Judy Garland","16"
"Katy Perry","18"
"Kelly Clarkson","6"
"Kenny Rogers","12"
"Kinks","95"
"Led Zepplin","2"
"Lynyrd Skynyrd","11"
"Meatloaf","3"
"Melissa Etheridge","13"
"Michael Jackson","95"
"Monkees","15"
"Moody Blues","30"
"Neil Diamond","55"
"Neil Young","138"
"Night Ranger","24"
"Paul Mccartney","186"
"Paul Simon","110"
"Peter Frampton","18"
"Pink Floyd","218"
"Pink","20"
"Police","14"
"Pretenders","27"
"Prince","5"
"Queen","82"
"Randy Newman","12"
"Reo Speedwagon","21"
"Robbie Robertson","12"
"Rod Stewart","27"
"Rolling Stones","59"
"Roy Orbison","33"
"Santana","11"
"Scott Joplin","22"
"Shania Twain","54"
"Sheryl Crow","43"
"Spice Girls","20"
"Steely Dan","23"
"Steve Miller Band","28"
"Steve Winwood","21"
"Supertramp","33"
"Survivor","13"
"Taylor Swift","96"
"The Band","65"
"Tom Lehrer","33"
"Tom Waits","60"
"Tori Amos","43"
"Toto","41"
"Traveling Wilburys","1"
"Usic","15"
"Van Morrison","85"
"Various Artists","3136"
"Vince Guaraldi","49"
"Whitney Houston","15"
"Who","70"
"Wings","40"
"Yes","65"
"Zz Top","56"
"_broadway Shows","1821"
"_movie And Tv","1927"
"artifacts","5852"
"output","1137"
"s3:","7"
